"Story","Title","Result","Date","Stability","Duration (s)"
"Product CRUD test with steps","This will create a new product","SUCCESS","2023-01-03T20:28:58.467Z[Europe/London]","0.0","7.79"
"Store CRUD test with step","This will create a new store","SUCCESS","2023-01-03T20:29:02.228Z[Europe/London]","0.0","4.09"
"Product CRUD test with steps","Verify if the Product was added ","SUCCESS","2023-01-03T20:29:06.285Z[Europe/London]","0.0","0.09"
"Store CRUD test with step","This will verify store added to list","SUCCESS","2023-01-03T20:29:06.358Z[Europe/London]","0.0","0.1"
"Product CRUD test with steps","update the product information","SUCCESS","2023-01-03T20:29:06.374Z[Europe/London]","0.0","0.16"
"Store CRUD test with step","update the store information","SUCCESS","2023-01-03T20:29:06.465Z[Europe/London]","0.0","0.18"
"Product CRUD test with steps","Delete the product and verify if the product is deleted!","SUCCESS","2023-01-03T20:29:06.537Z[Europe/London]","0.0","0.13"
"Store CRUD test with step","Delete the store and verify if the store is deleted!","SUCCESS","2023-01-03T20:29:06.647Z[Europe/London]","0.0","0.1"
